Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
clover,3,0.502703091,0.765824464,0.409908647,0.410846746,,,,,,,,
clover,3,0.510484536,0.748770467,0.407442602,0.4255488,,,,,,,,
clover,3,0.528711442,0.763279705,0.446613338,0.422359752,,,,,,,,
clover,3,0.503796547,0.752539246,0.436298902,0.45491237,,,,,,,,
clover,3,0.522369111,0.76211995,0.488093259,0.473884506,,,,,,,,
clover,4,0.535420208,0.796172373,0.426448394,0.396239282,0.542398418,0.791189181,0.460904227,0.415272226,,,,
clover,4,0.54598724,0.799417905,0.454423247,0.415400599,,,,,,,,
clover,4,0.551234275,0.787036864,0.431457479,0.417738334,,,,,,,,
clover,4,0.536567193,0.778363306,0.431841325,0.36172729,,,,,,,,
clover,4,0.549813236,0.787093707,0.481289889,0.466776712,,,,,,,,
clover,4,0.540350696,0.794494886,0.516765445,0.452952997,,,,,,,,
clover,4,0.544537674,0.784815344,0.530799442,0.452007093,,,,,,,,
clover,4,0.543087947,0.788829097,0.484217009,0.40952248,,,,,,,,
clover,4,0.530548723,0.793496114,0.422177329,0.389590927,,,,,,,,
clover,4,0.546436989,0.802172217,0.429622711,0.39076655,,,,,,,,
clover,5,0.559165437,0.80276482,0.402661051,0.343674033,0.562904736,0.809034199,0.454833686,0.415408707,,,,
clover,5,0.581711982,0.804855052,0.441547579,0.434386248,,,,,,,,
clover,5,0.565264221,0.812474692,0.501510895,0.490843218,,,,,,,,
clover,5,0.571291533,0.818963423,0.478086343,0.425062335,,,,,,,,
clover,5,0.570537661,0.817230578,0.487033386,0.442615615,,,,,,,,
clover,5,0.566844276,0.808138337,0.452345413,0.427940587,,,,,,,,
clover,5,0.543205939,0.802460671,0.417531536,0.359754405,,,,,,,,
clover,5,0.548022033,0.807817432,0.450350102,0.39544202,,,,,,,,
clover,5,0.557406106,0.808041832,0.435710345,0.438737408,,,,,,,,
clover,5,0.565598171,0.807595153,0.481560206,0.395631201,,,,,,,,
clover,10,0.601292997,0.867906437,0.482960419,0.437345577,0.600716658,0.870753436,0.464264969,0.422798921,,,,
clover,10,0.615250213,0.872159438,0.453557464,0.425765007,,,,,,,,
clover,10,0.595997846,0.872265699,0.457558936,0.400495851,,,,,,,,
clover,10,0.602926859,0.872540791,0.490509438,0.469979273,,,,,,,,
clover,10,0.595780417,0.868176863,0.471216208,0.418981522,,,,,,,,
clover,10,0.612654697,0.875675183,0.426784916,0.408752244,,,,,,,,
clover,10,0.603055828,0.872622873,0.447866318,0.390739524,,,,,,,,
